station,station_id,date,discharge_m3s
Mogami_302111282214010,302111282214010,1980-07-04,109.57
Mogami_302111282214010,302111282214010,1980-07-05,84.19
Mogami_302111282214010,302111282214010,1980-07-06,76.13
Mogami_302111282214010,302111282214010,1980-07-07,333.16
Mogami_302111282214010,302111282214010,1980-07-08,451.02
Mogami_302111282214010,302111282214010,1980-07-09,313.98
Mogami_302111282214010,302111282214010,1980-07-10,193.37
Mogami_302111282214010,302111282214010,1980-07-11,141.28
Mogami_302111282214010,302111282214010,1980-07-12,845.96
Mogami_302111282214010,302111282214010,1980-07-13,744.03
Mogami_302111282214010,302111282214010,1980-07-14,350.24
Mogami_302111282214010,302111282214010,1980-07-15,1137.62
Mogami_302111282214010,302111282214010,1980-07-16,800.81
Mogami_302111282214010,302111282214010,1980-07-17,604.5
Mogami_302111282214010,302111282214010,1980-07-18,375.48
Mogami_302111282214010,302111282214010,1980-07-19,322.4
Mogami_302111282214010,302111282214010,1980-07-20,244.71
Mogami_302111282214010,302111282214010,1980-07-21,186.53
Mogami_302111282214010,302111282214010,1980-07-22,157.07
Mogami_302111282214010,302111282214010,1980-07-23,158.01
Mogami_302111282214010,302111282214010,1980-07-24,324.17
Mogami_302111282214010,302111282214010,1980-07-25,553.34
Mogami_302111282214010,302111282214010,1980-07-26,480.68
Mogami_302111282214010,302111282214010,1980-07-27,299.7
Mogami_302111282214010,302111282214010,1980-07-28,361.28
Mogami_302111282214010,302111282214010,1980-07-29,570.75
Mogami_302111282214010,302111282214010,1980-07-30,431.15
Mogami_302111282214010,302111282214010,1980-07-31,774.14
Mogami_302111282214010,302111282214010,1980-08-01,625.39
Mogami_302111282214010,302111282214010,1980-08-02,367.84
Mogami_302111282214010,302111282214010,1980-08-03,267.14
Mogami_302111282214010,302111282214010,1980-08-04,210.26
Mogami_302111282214010,302111282214010,1980-08-05,195.88
Mogami_302111282214010,302111282214010,1980-08-06,151.24
Mogami_302111282214010,302111282214010,1980-08-07,124.64
Mogami_302111282214010,302111282214010,1980-08-08,104.14
Mogami_302111282214010,302111282214010,1980-08-09,90.56
Mogami_302111282214010,302111282214010,1980-08-10,81.74
Mogami_302111282214010,302111282214010,1980-08-11,74.79
Mogami_302111282214010,302111282214010,1980-08-12,72.08
Mogami_302111282214010,302111282214010,1980-08-13,69.35
Mogami_302111282214010,302111282214010,1980-08-14,69.32
Mogami_302111282214010,302111282214010,1980-08-15,158.12
Mogami_302111282214010,302111282214010,1980-08-16,518.03
Mogami_302111282214010,302111282214010,1980-08-17,749.1
Mogami_302111282214010,302111282214010,1980-08-18,328.39
Mogami_302111282214010,302111282214010,1980-08-19,231.2
Mogami_302111282214010,302111282214010,1980-08-20,188.88
Mogami_302111282214010,302111282214010,1980-08-21,145.4
Mogami_302111282214010,302111282214010,1980-08-22,128.7
Mogami_302111282214010,302111282214010,1980-08-23,239.68
Mogami_302111282214010,302111282214010,1980-08-24,249.32
Mogami_302111282214010,302111282214010,1980-08-25,174.66
Mogami_302111282214010,302111282214010,1980-08-26,191.55
Mogami_302111282214010,302111282214010,1980-08-27,1483.83
Mogami_302111282214010,302111282214010,1980-08-28,1155.64
Mogami_302111282214010,302111282214010,1980-08-29,568.2
Mogami_302111282214010,302111282214010,1980-08-30,478.5
Mogami_302111282214010,302111282214010,1980-08-31,562.66
Mogami_302111282214010,302111282214010,1980-09-01,364.45
Mogami_302111282214010,302111282214010,1980-09-02,288.03
Mogami_302111282214010,302111282214010,1980-09-03,250.41
Mogami_302111282214010,302111282214010,1980-09-04,218.23
Mogami_302111282214010,302111282214010,1980-09-05,206.09
Mogami_302111282214010,302111282214010,1980-09-06,179.47
Mogami_302111282214010,302111282214010,1980-09-07,172.77
Mogami_302111282214010,302111282214010,1980-09-08,304.36
Mogami_302111282214010,302111282214010,1980-09-09,307.3
Mogami_302111282214010,302111282214010,1980-09-10,232.09
Mogami_302111282214010,302111282214010,1980-09-11,203.55
Mogami_302111282214010,302111282214010,1980-09-12,171.36
Mogami_302111282214010,302111282214010,1980-09-13,154.17
Mogami_302111282214010,302111282214010,1980-09-14,137.44
Mogami_302111282214010,302111282214010,1980-09-15,109.02
Mogami_302111282214010,302111282214010,1980-09-16,108.38
Mogami_302111282214010,302111282214010,1980-09-17,101.27
Mogami_302111282214010,302111282214010,1980-09-18,95.27
Mogami_302111282214010,302111282214010,1980-09-19,88.78
Mogami_302111282214010,302111282214010,1980-09-20,86.94
Mogami_302111282214010,302111282214010,1980-09-21,84.07
Mogami_302111282214010,302111282214010,1980-09-22,77.32
Mogami_302111282214010,302111282214010,1980-09-23,73.46
Mogami_302111282214010,302111282214010,1980-09-24,69.29
Mogami_302111282214010,302111282214010,1980-09-25,69.2
Mogami_302111282214010,302111282214010,1980-09-26,65.82
Mogami_302111282214010,302111282214010,1980-09-27,60.49
Mogami_302111282214010,302111282214010,1980-09-28,65.04
Mogami_302111282214010,302111282214010,1980-09-29,61.45
Mogami_302111282214010,302111282214010,1980-09-30,57.17
Mogami_302111282214010,302111282214010,1980-10-01,56.7
Mogami_302111282214010,302111282214010,1980-10-02,54.49
Mogami_302111282214010,302111282214010,1980-10-03,54.61
Mogami_302111282214010,302111282214010,1980-10-04,52.89
Mogami_302111282214010,302111282214010,1980-10-05,49.13
Mogami_302111282214010,302111282214010,1980-10-06,48.33
Mogami_302111282214010,302111282214010,1980-10-07,66.02
Mogami_302111282214010,302111282214010,1980-10-08,82.34
Mogami_302111282214010,302111282214010,1980-10-09,61.54
Mogami_302111282214010,302111282214010,1980-10-10,55.58
Mogami_302111282214010,302111282214010,1980-10-11,51.52
Mogami_302111282214010,302111282214010,1980-10-12,45.21
Mogami_302111282214010,302111282214010,1980-10-13,48.27
Mogami_302111282214010,302111282214010,1980-10-14,124.33
Mogami_302111282214010,302111282214010,1980-10-15,87.29
Mogami_302111282214010,302111282214010,1980-10-16,54.7
Mogami_302111282214010,302111282214010,1980-10-17,49.88
Mogami_302111282214010,302111282214010,1980-10-18,54.34
Mogami_302111282214010,302111282214010,1980-10-19,53.91
Mogami_302111282214010,302111282214010,1980-10-20,135.59
Mogami_302111282214010,302111282214010,1980-10-21,157.01
Mogami_302111282214010,302111282214010,1980-10-22,158.77
Mogami_302111282214010,302111282214010,1980-10-23,138.61
Mogami_302111282214010,302111282214010,1980-10-24,106.81
Mogami_302111282214010,302111282214010,1980-10-25,152.13
Mogami_302111282214010,302111282214010,1980-10-26,280.3
Mogami_302111282214010,302111282214010,1980-10-27,607.23
Mogami_302111282214010,302111282214010,1980-10-28,780.06
Mogami_302111282214010,302111282214010,1980-10-29,447.07
Mogami_302111282214010,302111282214010,1980-10-30,305.61
Mogami_302111282214010,302111282214010,1980-10-31,263.35
Mogami_302111282214010,302111282214010,1980-11-01,370.52
Mogami_302111282214010,302111282214010,1980-11-02,261.82
Mogami_302111282214010,302111282214010,1980-11-03,216.08
Mogami_302111282214010,302111282214010,1980-11-04,184.34
Mogami_302111282214010,302111282214010,1980-11-05,163.97
Mogami_302111282214010,302111282214010,1980-11-06,167.64
Mogami_302111282214010,302111282214010,1980-11-07,164.83
Mogami_302111282214010,302111282214010,1980-11-08,172.52
Mogami_302111282214010,302111282214010,1980-11-09,154.41
Mogami_302111282214010,302111282214010,1980-11-10,155.86
Mogami_302111282214010,302111282214010,1980-11-11,134.87
Mogami_302111282214010,302111282214010,1980-11-12,122.66
Mogami_302111282214010,302111282214010,1980-11-13,119.59
Mogami_302111282214010,302111282214010,1980-11-14,150.99
Mogami_302111282214010,302111282214010,1980-11-15,183.15
Mogami_302111282214010,302111282214010,1980-11-16,160.12
Mogami_302111282214010,302111282214010,1980-11-17,127.62
Mogami_302111282214010,302111282214010,1980-11-18,113.4
Mogami_302111282214010,302111282214010,1980-11-19,107.14
Mogami_302111282214010,302111282214010,1980-11-20,103.09
Mogami_302111282214010,302111282214010,1980-11-21,96.75
Mogami_302111282214010,302111282214010,1980-11-22,133.63
Mogami_302111282214010,302111282214010,1980-11-23,190.57
Mogami_302111282214010,302111282214010,1980-11-24,163.32
Mogami_302111282214010,302111282214010,1980-11-25,159.15
Mogami_302111282214010,302111282214010,1980-11-26,188.78
Mogami_302111282214010,302111282214010,1980-11-27,230.68
Mogami_302111282214010,302111282214010,1980-11-28,179.46
Mogami_302111282214010,302111282214010,1980-11-29,148.8
Mogami_302111282214010,302111282214010,1980-11-30,146.84
Mogami_302111282214010,302111282214010,1980-12-01,136.93
Mogami_302111282214010,302111282214010,1980-12-02,126.58
Mogami_302111282214010,302111282214010,1980-12-03,123.41
Mogami_302111282214010,302111282214010,1980-12-04,150.32
Mogami_302111282214010,302111282214010,1980-12-05,245.63
Mogami_302111282214010,302111282214010,1980-12-06,212.6
Mogami_302111282214010,302111282214010,1980-12-07,153.85
Mogami_302111282214010,302111282214010,1980-12-08,162.36
Mogami_302111282214010,302111282214010,1980-12-09,144.83
Mogami_302111282214010,302111282214010,1980-12-10,140.02
Mogami_302111282214010,302111282214010,1980-12-11,132.18
Mogami_302111282214010,302111282214010,1980-12-12,123.03
Mogami_302111282214010,302111282214010,1980-12-13,139.09
Mogami_302111282214010,302111282214010,1980-12-14,166.09
Mogami_302111282214010,302111282214010,1980-12-15,158.6
Mogami_302111282214010,302111282214010,1980-12-16,166.51
Mogami_302111282214010,302111282214010,1980-12-17,155.3
Mogami_302111282214010,302111282214010,1980-12-18,135.71
Mogami_302111282214010,302111282214010,1980-12-19,133.36
Mogami_302111282214010,302111282214010,1980-12-20,139.79
Mogami_302111282214010,302111282214010,1980-12-21,134.57
Mogami_302111282214010,302111282214010,1980-12-22,128.09
Mogami_302111282214010,302111282214010,1980-12-23,127.48
Mogami_302111282214010,302111282214010,1980-12-24,157.15
Mogami_302111282214010,302111282214010,1980-12-25,179.33
Mogami_302111282214010,302111282214010,1980-12-26,167.74
Mogami_302111282214010,302111282214010,1980-12-27,157.76
Mogami_302111282214010,302111282214010,1980-12-28,147.69
Mogami_302111282214010,302111282214010,1980-12-29,149.82
Mogami_302111282214010,302111282214010,1980-12-30,180.22
Mogami_302111282214010,302111282214010,1980-12-31,182.23
Mogami_302111282214010,302111282214010,1981-01-01,135.45
Mogami_302111282214010,302111282214010,1981-01-02,120.82
Mogami_302111282214010,302111282214010,1981-01-03,126.47
Mogami_302111282214010,302111282214010,1981-01-04,123.34
Mogami_302111282214010,302111282214010,1981-01-05,118.68
Mogami_302111282214010,302111282214010,1981-01-06,112.65
Mogami_302111282214010,302111282214010,1981-01-07,110.18
Mogami_302111282214010,302111282214010,1981-01-08,110.04
Mogami_302111282214010,302111282214010,1981-01-09,109.11
Mogami_302111282214010,302111282214010,1981-01-10,113.58
Mogami_302111282214010,302111282214010,1981-01-11,111.63
Mogami_302111282214010,302111282214010,1981-01-12,109.04
Mogami_302111282214010,302111282214010,1981-01-13,106.7
Mogami_302111282214010,302111282214010,1981-01-14,104.17
Mogami_302111282214010,302111282214010,1981-01-15,101.13
Mogami_302111282214010,302111282214010,1981-01-16,97.85
Mogami_302111282214010,302111282214010,1981-01-17,96.03
Mogami_302111282214010,302111282214010,1981-01-18,94.44
Mogami_302111282214010,302111282214010,1981-01-19,93.64
Mogami_302111282214010,302111282214010,1981-01-20,91.35
Mogami_302111282214010,302111282214010,1981-01-21,88.04
Mogami_302111282214010,302111282214010,1981-01-22,86.51
Mogami_302111282214010,302111282214010,1981-01-23,83.87
Mogami_302111282214010,302111282214010,1981-01-24,82.05
Mogami_302111282214010,302111282214010,1981-01-25,81.56
Mogami_302111282214010,302111282214010,1981-01-26,83.3
Mogami_302111282214010,302111282214010,1981-01-27,83.58
Mogami_302111282214010,302111282214010,1981-01-28,82.13
Mogami_302111282214010,302111282214010,1981-01-29,80.46
Mogami_302111282214010,302111282214010,1981-01-30,79.76
Mogami_302111282214010,302111282214010,1981-01-31,79.77
Mogami_302111282214010,302111282214010,1981-02-01,80.46
Mogami_302111282214010,302111282214010,1981-02-02,78.6
Mogami_302111282214010,302111282214010,1981-02-03,79.05
Mogami_302111282214010,302111282214010,1981-02-04,78.0
Mogami_302111282214010,302111282214010,1981-02-05,80.14
Mogami_302111282214010,302111282214010,1981-02-06,78.68
Mogami_302111282214010,302111282214010,1981-02-07,76.99
Mogami_302111282214010,302111282214010,1981-02-08,77.91
Mogami_302111282214010,302111282214010,1981-02-09,78.71
Mogami_302111282214010,302111282214010,1981-02-10,77.48
Mogami_302111282214010,302111282214010,1981-02-11,80.7
Mogami_302111282214010,302111282214010,1981-02-12,79.12
Mogami_302111282214010,302111282214010,1981-02-13,81.43
Mogami_302111282214010,302111282214010,1981-02-14,82.77
Mogami_302111282214010,302111282214010,1981-02-15,91.25
Mogami_302111282214010,302111282214010,1981-02-16,104.18
Mogami_302111282214010,302111282214010,1981-02-17,150.71
Mogami_302111282214010,302111282214010,1981-02-18,130.98
Mogami_302111282214010,302111282214010,1981-02-19,132.61
Mogami_302111282214010,302111282214010,1981-02-20,131.44
Mogami_302111282214010,302111282214010,1981-02-21,117.95
Mogami_302111282214010,302111282214010,1981-02-22,108.77
Mogami_302111282214010,302111282214010,1981-02-23,109.37
Mogami_302111282214010,302111282214010,1981-02-24,104.21
